Element,BV,V,V1,neg3,neg2,neg1,flat,pos1,pos2,pos3
1T,0.4,0.3,,-0.3,-0.2,-0.1,0.0,0.2,0.4,0.6
1S,0.4,0.3,,-0.3,-0.2,-0.1,0.0,0.2,0.4,0.6
1Lo,0.5,0.4,,-0.3,-0.2,-0.1,0.0,0.2,0.4,0.6
1F,0.5,0.4,0.3,-0.3,-0.2,-0.1,0.0,0.2,0.4,0.6
1Lz,0.6,0.5,0.4,-0.3,-0.2,-0.1,0.0,0.2,0.4,0.6
1A,1.1,0.8,,-0.6,-0.4,-0.2,0.0,0.2,0.4,0.6
2T,1.3,0.9,,-0.6,-0.4,-0.2,0.0,0.2,0.4,0.6
2S,1.3,0.9,,-0.6,-0.4,-0.2,0.0,0.2,0.4,0.6
2Lo,1.8,1.3,,-0.9,-0.6,-0.3,0.0,0.2,0.4,0.6
2F,1.8,1.4,1.3,-0.9,-0.6,-0.3,0.0,0.3,0.6,0.9
2Lz,2.1,1.5,1.4,-0.9,-0.6,-0.3,0.0,0.3,0.6,0.9
2A,3.3,2.3,,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5
3T,4.3,3.0,,-2.1,-1.4,-0.7,0.0,0.7,1.4,2.1
3S,4.4,3.1,,-2.1,-1.4,-0.7,0.0,0.7,1.4,2.1
3Lo,5.1,3.6,,-2.1,-1.4,-0.7,0.0,0.7,1.4,2.1
3F,5.3,3.7,3.2,-2.1,-1.4,-0.7,0.0,0.7,1.4,2.1
3Lz,6.0,4.2,3.6,-2.1,-1.4,-0.7,0.0,0.7,1.4,2.1
3A,8.5,5.9,,-3.0,-2.0,-1.0,0.0,1.0,2.0,3.0
4T,10.3,8.0,,-3.6,-2.4,-1.2,0.0,1.0,2.0,3.0
4S,10.5,8.1,,-3.6,-2.4,-1.2,0.0,1.0,2.0,3.0
4Lo,12.0,8.4,,-3.6,-2.4,-1.2,0.0,1.0,2.0,3.0
4F,12.3,8.6,8.0,-3.6,-2.4,-1.2,0.0,1.0,2.0,3.0
4Lz,13.6,9.5,8.4,-3.6,-2.4,-1.2,0.0,1.0,2.0,3.0
4A,15.0,10.5,,-3.6,-2.4,-1.2,0.0,1.2,2.4,3.6
StSqB,1.5,,,-0.9,-0.6,-0.3,0.0,0.5,1.0,1.5
StSq1,1.8,,,-0.9,-0.6,-0.3,0.0,0.5,1.0,1.5
StSq2,2.6,,,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5
StSq3,3.3,,,-2.1,-1.4,-0.7,0.0,0.5,1.0,1.5
StSq4,3.9,,,-2.1,-1.4,-0.7,0.0,0.7,1.4,2.1
ChSq1,2.0,,,-2.1,-1.4,-0.7,0.0,0.7,1.4,2.1
SSpB,1.0,,,-0.9,-0.6,-0.3,0.0,0.5,1.0,1.5
